id,name,description,category,brand
1,Thùng 24 bịch sữa dinh dưỡng ít đường Dutch Lady 180ml,"Sữa (93%),nước, bột sữa gầy, dầu thực vật, đường(2,8%), chất nhũ hóa (471), vitamin (C, D), chất ổn định (407),...",Sữa Các Loại,Dutch Lady
2,Thùng 48 hộp sữa tươi tiệt trùng ít đường Vinamilk 100% Sữa tươi 180ml,"Sữa tươi (97%), đường (2,8%), chất ổn định (471, 460(i), 407, 466), vitamin (natri ascorbat, A, D3), khoáng chất (natri selenit)",Sữa Các Loại,Vinamilk
3,Thùng 12 hộp sữa tươi tiệt trùng không đường Vinamilk Sữa tươi 100% 1 lít,"Sữa bò tươi (99,8%), chất ổn định (471, 460(i), 407, 466, vitamin (natri ascorbat, A, D3),, khoáng chất (natri selenit)",Sữa Các Loại,Vinamilk
4,Thùng 48 hộp sữa tươi tiệt trùng ít đường Dutch Lady 180ml,"Sữa tươi, nước, bột sữa, đường,...",Sữa Các Loại,Dutch Lady
5,Thùng 48 bịch sữa dinh dưỡng có đường Vinamilk 220ml,"Sữa, dầu thực vật, vitamin (A, D3),...",Sữa Các Loại,Vinamilk
6,Thùng 48 bịch sữa dinh dưỡng hương socola Dutch Lady 180ml,"Sữa (nước, bột sữa gầy), đường, dầu thực vật, bột ca cao,....",Sữa Các Loại,Dutch Lady
7,Thùng 48 hộp sữa dinh dưỡng hương dâu Dutch Lady 180ml,"Sữa 93% (nước, sữa tươi, bột sữa gầy, chất béo sữa), đường, chất nhũ hoá (471), choline, chất ổn định (407), hương dâu tổng hợp dùng trong thực phẩm, chất ổn định (407), màu tổng hợp dùng trong thực phẩm (129), vitamin B.",Sữa Các Loại,Dutch Lady
8,Thùng 48 hộp sữa dinh dưỡng socola Dutch Lady 180ml,"Sữa tươi (92%), nước, đường, bột sữa gầy, chất béo sữa, bột ca cao, lactose, cholin, natri clorua, Vitamin D3",Sữa Các Loại,Dutch Lady
9,Chuột không dây siêu nhẹ Logitech G PRO X Superlight 2 DEX,"Phiên bản công thái học của chuột Logitech PRO X SUPERLIGHT 2.
Logitech PRO X SUPERLIGHT 2 DEX là chuột bất đối xứng 60 g có cảm biến HERO 2 tiên tiến, công tắc LIGHTSPEED không dây và LIGHTFORCE mạnh mẽ trong khi cung cấp thời lượng pin lên đến 95 giờ.",Đồ Công Nghệ,Logitech
10,Chuột không dây siêu nhẹ Logitech G PRO X Superlight 2 Wireless,Sự phát triển lên bước tiếp theo của con chuột đã giành giải vô địch. Giới thiệu lựa chọn mới cho những vận động viên thể thao điện tử hàng đầu thế giới.,Đồ Công Nghệ,Logitech
11,Chuột không dây Logitech G502 X Plus,"Logitech G502 X PLUS là sự bổ sung mới nhất cho dòng G502 huyền thoại. Được thiết kế lại và sáng chế lại với các công nghệ chơi game tiên tiến nhất, bao gồm các phím switch lai LIGHTFORCE đầu tiên của chúng tôi, LIGHTSPEED không dây cấp độ chuyên nghiệp, LIGHTSYNC RGB và Cảm biến quang học HERO 25K. G502 X PLUS cũng tương thích với POWERPLAY — do đó nó không bao giờ hết năng lượng.",Đồ Công Nghệ,Logitech
12,Chuột Logitech G102 Gen2 Lightsync,"Tận hưởng tối đa khoảng thời gian chơi game của bạn với chuột G102, sở hữu công nghệ LIGHTSYNC, cảm biến cấp độ chơi game và thiết kế 6 nút cổ điển. Thắp sáng trò chơi...và bàn làm việc của bạn.",Đồ Công Nghệ,Logitech
13,Tai nghe không dây Logitech G733 Lightspeed,"Đắm chìm vào thế giới của riêng bạn
với âm thanh vòm",Đồ Công Nghệ,Logitech
14,Bàn phím không dây Logitech MX Keys S,"Trải nghiệm trạng thái luồng công việc ở cấp độ mới với MX Keys S - Một bàn phím hiệu suất cao, được thiết kế để gõ thoải mái, nhanh chóng, mượt mà, với hệ thống chiếu sáng thông minh và các phím có thể lập trình.",Đồ Công Nghệ,Logitech
15,èn Trợ Sáng Bi Cầu Mini W2,4 Chế Độ Tích Hợp Auto Passing phiên bản mới nhất 2025 - Bảo Hành 12 Tháng,Ô Tô & Xe Máy,None
